                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.93967,                  1.198,                 0.7407,                 1.0168,                0.92342,                0.84443,                0.91016,                0.72694,                0.89749,                0.82402,                0.86628,                0.48691,                0.91521,                 1.3997,                 0.8781,                 1.0043,             0.00043946,             0.00043946,             0.00043946
                     55,                 1.0202,                 1.4225,                0.75765,                 1.0022,                0.92342,                0.84443,                0.91016,                0.72694,                0.89749,                0.82402,                0.86628,                0.48691,                0.91521,                 1.3997,                 0.8781,                 1.0043,             0.00044164,             0.00044164,             0.00044164
                     56,                0.93542,                 1.3452,                0.72795,                 0.9939,                0.92342,                0.84443,                0.91016,                0.72694,                0.89749,                0.82402,                0.86628,                0.48691,                0.91521,                 1.3997,                 0.8781,                 1.0043,             0.00044359,             0.00044359,             0.00044359
                     57,                0.91369,                 1.3268,                0.71611,                0.98952,                0.93242,                0.85789,                0.92843,                0.72095,                0.90084,                0.83254,                0.88156,                0.47756,                0.93496,                 1.3418,                0.83362,                0.99439,             0.00044532,             0.00044532,             0.00044532
                     58,                0.87751,                 1.2263,                0.69909,                0.97775,                0.93242,                0.85789,                0.92843,                0.72095,                0.90084,                0.83254,                0.88156,                0.47756,                0.93496,                 1.3418,                0.83362,                0.99439,             0.00044682,             0.00044682,             0.00044682
                     59,                0.99651,                 1.3957,                0.78119,                 1.0107,                0.93242,                0.85789,                0.92843,                0.72095,                0.90084,                0.83254,                0.88156,                0.47756,                0.93496,                 1.3418,                0.83362,                0.99439,             0.00044809,             0.00044809,             0.00044809
                     60,                0.93847,                 1.2521,                0.69504,                0.97908,                0.87732,                0.84423,                0.91337,                0.69047,                0.82874,                 0.7908,                0.83271,                0.43583,                0.88436,                 1.2752,                0.77561,                0.96788,             0.00044914,             0.00044914,             0.00044914
                     61,                0.92258,                 1.1986,                0.67886,                0.96015,                0.87732,                0.84423,                0.91337,                0.69047,                0.82874,                 0.7908,                0.83271,                0.43583,                0.88436,                 1.2752,                0.77561,                0.96788,             0.00044996,             0.00044996,             0.00044996
                     62,                0.91105,                 1.2015,                0.69142,                0.97259,                0.87732,                0.84423,                0.91337,                0.69047,                0.82874,                 0.7908,                0.83271,                0.43583,                0.88436,                 1.2752,                0.77561,                0.96788,             0.00045056,             0.00045056,             0.00045056
                     63,                0.96077,                 1.2745,                0.70795,                0.95884,                0.93464,                0.84372,                0.92681,                0.75991,                0.92266,                0.82352,                0.89729,                0.51333,                0.82534,                 1.1816,                0.68068,                0.95214,             0.00045093,             0.00045093,             0.00045093
